Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized
"Ramanathan, Kannan","Wang, Wan-Jung","Zhang, Chen",,,,OPRE,6332,501,,34,22,11,11,4,1,2,,,,,2,,,,,,0,kxr087000,kannan ramanathan
"Ramanathan, Kannan",,,,,,OPRE,6364,001,,22,10,4,1,1,,1,,,,,,,,,,,0,kxr087000,kannan ramanathan
"Cakanyildirim, Metin","Vu, Duc D",,,,,OPRE,6366,0W1,,1,4,5,1,,,,,,,,,,,,,,0,metin,metin cakanyildirim
"Parks, David",,,,,,OPRE,6367,502,,12,5,8,3,,,,,,,,,,,,,,0,dxp153830,david parks
"Deluke, Eugene","Subramoniam, Ramesh",,,,,OPRE,6369,501,,13,,,12,,,5,,,,,,,,,,,0,gxd052000,eugene deluke
"Chen, Qi","Garg, Harsh",,,,,OPRE,6371,501,,14,3,16,1,,,,,,,,,,,,,,0,qxc171130,
"Janakiraman, Ganesh",,,,,,OPRE,7311,001,,4,,1,,1,,,,,,,,,,,,,0,gxj091000,ganesh janakiraman
"Bortz, Tiffany A","Cheney, Michael P",,,,,ACCT,3332,001,2,15,5,,12,8,3,6,3,4,4,,4,,,,,,8,tabortz,tiffany bortz
"Bortz, Tiffany A","Cheney, Michael P",,,,,ACCT,3332,501,,5,2,1,10,2,3,10,4,1,5,1,4,,,,,,7,tabortz,tiffany bortz
"Bortz, Tiffany A","Cheney, Michael P",,,,,ACCT,3332,PPA,4,25,6,9,7,2,3,4,1,,2,,,,,,,,3,tabortz,tiffany bortz
"Solcher, Steven J","Nguyen, Ploysirin K",,,,,ACCT,3350,001,4,6,18,7,15,3,1,2,,,,,,,,,,,3,sjs107020,steven solcher
"Ginevich, Rostislav","Chava, Soumya",,,,,MIS,6373,501,,38,30,4,,,,,,,,,,,,,,,0,rxg172930,rostislav ginevich
"Deluke, Eugene","Subramoniam, Ramesh",,,,,MIS,6369,501,,8,,,4,,,,,,,,,,,,,,0,gxd052000,eugene deluke
