Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
CHEM,1312,0U1,2,4,3,4,9,17,8,15,9,4,11,,23,,,,3,"Huang, Yu","Rifat, Samia",,,,,dieckgr,gregg dieckmann
CHEM,2123,1U1,12,9,4,1,,,,,,,,,,,,,1,"Dissanayake, Dushanthi S","Brand, Emily J","Dias, Prabavi Shayana",,,,nxa124430,nimali abeykoon
CHEM,2123,1U2,7,6,1,2,1,1,,,,,,,2,,,,1,"Dissanayake, Dushanthi S","Dubrovina, Anastasiia","Ehrman, Ryanne N",,,,nxa124430,nimali abeykoon
CHEM,2125,1U1,7,11,5,3,,,1,,,,,,1,,,,0,"Cortes, Sergio J","Howlett, Thomas S","Li, Baowen",,,,dxd122030,dushanthi dissanayake
CHEM,2125,1U2,7,13,1,6,2,,,,,1,,,1,,,,1,"Shah, Shailesh N","Brown, Monet R","Koirala, Shailendra",,,,scortes,sergio cortes
CHEM,2323,0U1,8,15,4,6,1,4,6,3,2,4,6,,4,,,,5,"Tran, Daniel N","Abbas, Muhammad",,,,,sibertj,john sibert
CHEM,2325,0U1,11,11,8,5,8,2,4,9,7,3,7,,7,,,,4,"Sibert, John W",,,,,,scortes,sergio cortes
CHEM,3361,0W1,,1,1,3,,2,1,1,,1,,,,,,,0,"Candas, Mehmet","Wickramasinghe, Piumi B","Song, Ming","Wang, Tianyuan",,,lxj200008,lin jia
CLDP,3310,5U1,,7,1,1,6,,1,,,,,,,,,,0,"Bonner, Deborah L","Hafiz, Mariam",,,,,dbonner,deborah bonner
CLDP,3342,0W1,,7,3,6,3,1,1,,,,,,3,,,,0,"Smith, Olivia","Trehan, Aastha",,,,,dbonner,deborah bonner
COMD,6320,0W1,,32,,,,,,,,,,,,,,,0,"Carter, Jessica A","Smith, Irma E",,,,,jar032000,
COMD,6V09,0W1,,38,,,,,,,,,,,,,,,0,"Aldridge, Michelle A",,,,,,aldridge,michelle aldridge
COMD,7303,0W1,,94,1,,15,,,,,,,,,,,,0,"Dean, Lucinda L","Kenedi, Helen",,,,,lxl018300,
COMD,7323,0W1,,14,,,,,,,,,,,,,,,0,"Sweeney, Melissa",,,,,,msweeney,
COMD,7345,0W1,,23,,,,,,,,,,,,,,1,0,"Cook, Lori G",,,,,,lgc011100,lori cook
COMD,7V68,0W1,,27,,,,,,,,,,,,,,,0,"Sale, Felicity F",,,,,,ffs013000,
COMD,7V89,0W1,,20,,1,1,,,,,,,,,,,1,0,"Walsh, Diane G",,,,,,dxg022000,diane walsh
COMM,1311,0U1,,6,1,2,2,,2,,,1,,,,,,,0,"Arnold, Bob",,,,,,bxa161430,bob arnold
COMM,1311,0W1,3,9,1,2,2,,,2,,,,,3,,,,0,"Vazzi, Lisa",,,,,,contemp,karen baynham
COMM,1311,0W3,5,7,2,3,,1,,,1,,,,1,,,,1,"Tanner, Lari J",,,,,,aam141730,allison templeton
COMM,3342,091,3,4,1,1,2,3,1,,,,,,2,,,,0,"King, Carie S",,,,,,cxl085200,carie king
CRIM,1301,0W1,2,,6,1,1,1,,2,1,,,,2,,,,1,"Gordon, Quinn T",,,,,,gxc097120,galia cohen
CRIM,1307,0W1,3,15,,2,2,1,2,,,,,,,,,,0,"Wilds, Katherine M",,,,,,tvk071000,tomislav kovandzic
CRIM,3301,0W1,5,7,3,9,7,5,3,5,1,,2,2,3,,,,1,"Riddell, Jordan R",,,,,,mxs158030,jordan riddell
CRIM,3302,0W1,,6,,,7,,,3,,,2,,1,,,,0,"Lee, Yeungjeom",,,,,,peo091000,elmer polk
CRIM,3310,0W1,,28,,,13,,,4,,,2,,2,,,,0,"Park, Yeonjae",,,,,,spg160530,sarah gammell
CRIM,4311,0W1,3,2,2,1,,1,,,,,,,1,,,,0,"Corey, Jessica",,,,,,kds106020,kelli martin
