Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized
"Dean, Lucinda L","Kenedi, Helen","Boone, Melissa N",,,,COMD,7303,0U1,,94,,,29,,,1,,,,,,,,,,,,lxl018300,
"Tanner, Lari J",,,,,,COMM,1311,0H1,5,4,,,,1,,,,,,,,,,,,,,aam141730,allison templeton
"Moss, Daniel J",,,,,,COMM,1311,0H3,1,2,3,1,1,2,,,,,,,,,,,,,,djm161130,daniel moss
"Stewart, Derek A",,,,,,COMM,1311,0H5,,6,6,,,1,,,,,,,,,,,,,,das141230,derek stewart
"Stewart, Derek A",,,,,,COMM,1311,0H4,4,5,5,1,1,,,,,,,,,,,,,,,das141230,derek stewart
"Gregory, Mona Y",,,,,,COMM,1311,0W1,5,6,1,2,2,2,,,,1,,,2,,,,,,,contemp,karen baynham
"Tanner, Lari J",,,,,,COMM,1311,0H2,15,4,2,,,1,,,,,,,,,,,,,,aam141730,allison templeton
"Hernandez-Katz, Melissa M",,,,,,COMM,4350,051,1,8,7,2,2,2,,1,,,,,,,,,,,,mhkatz,melissa hernandez katz
"Vazzi, Lisa",,,,,,COMM,1311,0W3,9,12,3,2,1,1,1,,,,,,1,,,,,,1,aam141730,allison templeton
"Huskey, Michael",,,,,,CRIM,3320,0W1,1,7,5,3,1,3,,,1,1,2,1,3,,,,,,,mxh160630,michael huskey
"Gammell, Sarah P",,,,,,CRIM,3310,0W1,3,9,7,1,3,1,,,3,,2,1,4,,,,,,,spg160530,sarah gammell
"Laprade, Jennifer M",,,,,,CRIM,3300,0W1,,18,6,1,2,1,1,3,,1,,,1,,,,,,,jlw064000,john worrall
"Polk, Elmer O",,,,,,CRIM,3302,0W1,13,13,6,1,,2,2,1,1,,,,,,,,,,,peo091000,elmer polk
"Polk, Elmer O",,,,,,CRIM,4396,0W1,40,14,4,3,1,7,2,1,1,,1,1,2,,,,,,,rwt092000,robert taylor
"Nouroz Borazjany, Mehra","Ricks, Brian W",,,,,CS,3354,0U1,,,3,2,,,1,2,2,,,,,,,,,,,mxn143230,mehra borazjany
"Semper, William J",,,,,,CS,6375,MS1,,10,,,,,,,,,,,,,,,,,,wjs130130,william semper
"Arnold, Gordon L",,,,,,CS,1136,1U2,8,,,,,1,,,,,1,,2,,,,,,,gxa120930,gordon arnold
"Gupta, Neeraj K","Li, Fang",,,,,CS,1336,5U2,2,1,,2,2,1,,,,,2,,2,,,,,,,nkg140130,neeraj gupta
"Christiansen, Michael G","Gu, Shuyang",,,,,CS,4347,0U2,1,1,,5,1,1,2,,1,,,,,,,,,,,mgc013000,michael christiansen
"Le, Khiem V","Varanasi, Sarat Chandra",,,,,CS,1337,0U2,,1,2,2,,1,1,,,,,1,1,,1,,,,,kvl140030,khiem le
"Nguyen, Nhut","Nguyen, Y H","Yu, Shimeng",,,,CS,4393,5U1,,5,1,4,1,,1,,1,1,,,,,,,,,,nhutnn,nhut nguyen
"Davis, Chris I","Munia, Munawara Saiyara",,,,,CS,4384,0U2,,3,4,4,1,,1,,,,,,1,,,,,,,cid021000,chris davis
"Arnold, Gordon L",,,,,,CS,1134,1U1,8,1,1,1,,,,,1,,1,,2,,,,,,,gxa120930,gordon arnold
"Nguyen, Nhut","Nguyen, Y H","Yu, Shimeng",,,,CS,4341,0U1,1,4,2,2,1,3,,,1,,,,1,,,,,,,nhutnn,nhut nguyen
"Christiansen, Michael G","Wang, Chao",,,,,CS,1335,0U1,1,1,1,1,3,4,1,1,1,,,,1,,,,,,1,mgc013000,michael christiansen
"Nagar, Anurag","Nguyen, Son V",,,,,CS,1334,0U1,2,4,4,3,3,,,,,,,,,,,,,,,axn112530,anurag nagar
"Nguyen, Nhut","Nguyen, Y H","Yu, Shimeng",,,,CS,4141,6U1,,13,,,1,,,,,,1,,1,,,,,,,nhutnn,nhut nguyen
"Ozbirn, Greg A","Li, Changbin",,,,,CS,3345,0U2,,2,6,1,2,3,,1,,,1,,,,,,,,,ozbirn,greg ozbirn
"Arnold, Gordon L",,,,,,CS,1136,1U1,6,1,,3,,,1,1,1,,,1,3,,,,,,,gxa120930,gordon arnold
"Cobb, Jorge","Yousefpour, Ashkan",,,,,CS,4390,0U2,1,3,,1,4,2,1,3,,,1,,1,,,,,,,jcobb,jorge cobb
"Ozbirn, Greg A","Fan, Zhenbao",,,,,CS,3345,0U1,1,2,4,4,,5,,,,,,1,1,,,,,,,ozbirn,greg ozbirn
