Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
OPRE,6302,MBC,,29,13,3,1,,,,,,,,,,,9,1,"Honhon, Dorothee B","Mobini Dehkordi, Zahra",,,,,dbh130130,dorothee honhon
OPRE,6302,XS1,,8,16,1,,,,,,,,,,,,4,0,"Hassanzadeh, Nozar",,,,,,nozarh,nozar hassanzadeh
OPRE,6303,0W1,,14,1,3,3,,,,,,,,1,,,3,1,"Sethi, Awanti",,,,,,asethi,awanti sethi
OPRE,6304,501,,9,7,9,,,,,,,,,,,,18,3,"Simsek, Ahmet S","Sul, Inki",,,,,axs158032,ahmet simsek
OPRE,6325,501,,9,1,1,1,,,,,,,,1,,,,0,"Stephens, Timothy G","Shah, Rishi A",,,,,tgs170130,timothy stephens
OPRE,6332,0W1,,31,14,10,,1,1,1,,,,,3,,,4,0,"Ramanathan, Kannan","Nallur Srinivasan, Badri Naarayanan",,,,,kxr087000,kannan ramanathan
OPRE,6332,501,,59,6,3,1,1,,,,,,,1,,,5,0,"Ramanathan, Kannan","Nallur Srinivasan, Badri Naarayanan",,,,,kxr087000,kannan ramanathan
OPRE,6341,501,,19,1,1,,1,,,,,,,1,,,,1,"Honhon, Dorothee B",,,,,,dbh130130,dorothee honhon
OPRE,6355,001,,7,9,,,,,,,,,,,,,,0,"Bolton, Gary","Katok, Elena M",,,,,gxb122130,gary bolton
OPRE,6359,0W1,,4,,2,1,1,,,,,,,,,,4,0,"Brussolo, Monica E","Kattula, Karthik Mahanth",,,,,meb049000,monica brussolo
OPRE,6359,501,,2,2,,,1,,,,,,,,,,5,1,"Ramezani, Rasoul","Kattula, Karthik Mahanth",,,,,axt083100,aysegul toptal
OPRE,6362,0W1,,6,10,3,,,,,,,,,,,,1,0,"Alborz, Shawn",,,,,,sxa063000,shawn alborz
OPRE,6362,501,,22,10,,,,,,,,,,,,,4,0,"Janke, Scott M","Jain, Rajul",,,,,sxa063000,shawn alborz
OPRE,6364,001,,16,13,5,3,1,1,,,,,,1,,,,1,"Ramanathan, Kannan",,,,,,kxr087000,kannan ramanathan
OPRE,6366,0W1,,2,5,2,3,,,,,,,,,,,2,2,"Cakanyildirim, Metin","Shetty, Pratik Kishore",,,,,metin,metin cakanyildirim
