Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W,instructor_id,instructor_name_normalized
"Rosen, Mark S","Brunetti, Francesca",,,,,AHST,3315,001,2,19,12,11,5,2,2,2,,,,,5,,,,,,1,mxr088000,mark rosen
"Terranova, Charissa",,,,,,AHST,3319,001,2,15,5,5,8,4,,2,2,,1,,4,,,,,,0,cxt074100,charissa terranova
"Gossin, Pamela",,,,,,ARHM,3342,003,5,6,6,3,8,1,1,,1,2,,,6,,,,,,1,psgossin,pamela gossin
"Barnes, Ashley",,,,,,ARHM,3342,501,2,11,5,6,2,,1,1,,,1,,6,,,,,,1,axb162631,ashley barnes
"Brown-Pearn, Spencer S",,,,,,ARTS,3340,002,6,11,,,,,,,,,,,,,,,,,0,ssb062000,spencer brown pearn
"Polite, Giraud",,,,,,ARTS,3372,501,18,,,,,,,,,,,,1,,,,,,0,gpolite,
"Durant, Stephanie D",,,,,,ARTS,4308,001,1,6,7,4,,,,,,,1,,,,,,,,0,ddm043000,
"Pomara, John",,,,,,ARTS,4368,001,3,9,,,,,,,,,,,,,,,,,0,pomara,john pomara
"Chen, Bei",,,,,,CHIN,1301,001,7,3,1,,2,,,,,,,,,,,,,,0,bxc152730,bei chen
"Dorough, Ramona J",,,,,,COMM,1311,510,5,3,2,1,4,1,1,4,,1,,,1,,,,,,0,rjd140130,ramona dorough
"Totusek, Patricia F",,,,,,COMM,1311,5W4,5,6,5,3,,,,1,,,,1,1,,,,,,1,myg140030,mona gregory
"Schlobohm, Maribeth L",,,,,,COMM,3342,001,4,12,2,1,8,1,,,1,,,,,,,,,,0,mls077000,maribeth (betsy) schlobohm
"Baker, Barbara L",,,,,,COMM,3351,001,,2,1,1,1,4,2,3,1,,,,1,,,,,,2,blb140430,barbara baker
"King, Carie S",,,,,,COMM,4314,001,5,6,1,2,,2,,,2,,,1,4,,,,,,1,cxl085200,carie king
"Schulze, Jeffrey","Ye, Huiping",,,,,HIST,1301,012,,7,7,4,22,12,8,13,3,2,2,1,4,,,,,,4,jxs072200,jeffrey schulze
"Volanto, Keith J","Armentrout, Kenneth C",,,,,HIST,1301,501,,21,,1,19,6,1,14,,2,10,1,12,,,,,,1,kjv062000,keith volanto
"Burnett, Lora D","Varghese, Shawn",,,,,HIST,1301,502,11,24,6,12,13,7,4,3,,1,1,,2,,,,,,2,ldb082000,lora burnett
"Gray, Megan L",,,,,,ARHM,1100,301,,4,,,4,,,3,,,1,,4,,,,,,0,mlg105020,megan gray
"Ferguson, Wesley A",,,,,,THEA,1310,001,3,26,11,5,1,,1,,1,,,,,,,,,,0,waf061000,wesley ferguson
"Ferguson, Wesley A",,,,,,THEA,1310,002,1,39,2,2,3,1,,,,,,,,,,,,,1,waf061000,wesley ferguson
"Baig, Maryam O",,,,,,THEA,1310,501,,42,,,1,,,1,,,,,1,,,,,,2,baig,maryam baig
"Hennigan, Edward B",,,,,,THEA,1351,501,2,6,9,2,,,,,1,,,,1,,,,,,0,ebh062000,edward hennigan
"Lingo, Kathy A",,,,,,THEA,2372,001,,21,1,,,,,,,,,,2,,,,,,0,klingo,kathy lingo
"Lingo, Kathy A",,,,,,THEA,2372,002,,5,2,3,,,,,,,,,,,,,,,0,klingo,kathy lingo
"Hibbs, Shelby A",,,,,,THEA,3310,501,2,11,2,,,,,,,,,,,,,,,,0,sah140730,shelby hibbs
"Hibbs, Shelby A",,,,,,THEA,3323,501,1,4,4,6,5,1,,3,,,,,,,,,,,1,sah140730,shelby hibbs
"Hibbs, Shelby A",,,,,,THEA,3325,001,,6,1,,3,,,,,,,,,,,,,,0,sah140730,shelby hibbs
"Lingo, Kathy A",,,,,,THEA,3372,501,,15,1,,,,,,,,,,1,,,,,,0,klingo,kathy lingo
"Curchack, Fred",,,,,,THEA,4301,501,4,5,,1,,2,,,,,,,,,,,,,0,curchack,fred curchack
"Warren, Shilyh J",,,,,,FILM,3325,001,3,4,4,2,,,1,1,1,,,1,1,,,,,,0,sjw120030,shilyh warren
"Wilson, Michael",,,,,,HIST,3320,001,,12,8,8,6,4,2,,,,,,3,,,,,,3,mwilson,michael wilson
"Foust, Kristan N",,,,,,HIST,3387,501,4,1,1,4,2,4,1,3,2,2,,3,10,,,,,,2,kef170230,
"Rankin, Monica A","Kirk, Stacie L",,,,,HIST,3398,001,1,24,4,1,8,,,1,,,1,,2,,,,,,2,mar046000,monica rankin
"Pfister, Debra H",,,,,,HIST,4330,001,6,10,11,5,6,5,1,,,,,,4,,,,,,0,dhpf,debra pfister
"Hill, Kimberly D",,,,,,HIST,4357,501,6,3,8,2,1,2,,,,,,,1,,,,,,0,kdh140430,kimberly hill
"Heinz, Annelise M",,,,,,HIST,4378,001,,7,7,4,5,3,1,1,1,,,,6,,,,,,1,amh150930,annelise heinz
"Pomara, John",,,,,,HUAS,6339,001,,13,,,,,,,,,,,,,,,,,0,pomara,john pomara
"Riccio, Thomas P",,,,,,HUAS,6392,001,,4,2,1,1,,,,,,,,,,,,,,0,txr033000,thomas riccio
"Terranova, Charissa",,,,,,HUAS,7380,501,,4,2,,,,,,,,,,,,,,,,0,cxt074100,charissa terranova
"Roemer, Nils H",,,,,,HUHI,6313,001,,9,,,,,,,,,,,,,,,,,0,nhr061000,nils roemer
"Channell, David",,,,,,HUHI,6313,002,,6,,1,1,,,,,,,,,,,,,,0,channell,david channell
"Hill, Kimberly D",,,,,,HUHI,6314,001,,5,1,,1,,,,,,,,,,,,,,1,kdh140430,kimberly hill
"Roemer, Nils H",,,,,,HUHI,6320,001,,9,1,,,,,,,,,,,,,,,,0,nhr061000,nils roemer
"Patterson, David",,,,,,HUHI,7314,501,,4,,1,2,,,1,,,,,,,,,,,0,dxp103120,david patterson
"Brown, Matthew",,,,,,HUHI,7387,001,,2,2,1,1,,,,,,,,,,,,,,0,mxb091000,matthew brown
"Scotch, Richard",,,,,,PPPE,6350,001,,6,,1,,,,,,,,,,,,,,,0,scotch,richard scotch
"King, Carie S",,,,,,COMM,4375,PAC,8,11,1,,,,,,,,,,,,,,,,0,cxl085200,carie king
"Akins, Emily",,,,,,ARHM,1100,302,,4,,,5,,,2,,,,,1,,,,,,0,exa160630,
"Vidyasagar, Mathukumalli","Yurkovich, Stephen","Pyne, Moinak",,,,SYSM,6305,001,,6,3,1,3,1,,,,,,,,,,,,,0,mxv091000,mathukumalli vidyasagar
"Gu, Ming D",,,,,,HUSL,6316,001,,7,2,2,,,,,,,,,1,,,,,,0,mdg073000,ming dong gu
"Murphy, Jessica C",,,,,,HUSL,6348,001,,7,5,2,2,,,,,,,,,,,,,,0,jxm092000,jessica murphy
"Cotter, Sean J",,,,,,HUSL,6381,001,,6,2,1,1,,,,,,,,,,,,,,0,sjc010100,sean cotter
"Hatfield, Charles D",,,,,,HUSL,6398,501,,12,2,,,,,,,,,,,,,,,,0,cxh074100,charles hatfield
"Schulte, Rainer",,,,,,HUSL,7322,501,,6,,,,,,,,,,,,,,,,,0,schulte,rainer schulte
"Cohen, Milton",,,,,,HUSL,7360,001,,2,1,3,,1,1,,,,,,,,,,,,0,mcohen,milton cohen
"Saar Hambazaza, Terje",,,,,,LIT,2331,502,3,4,2,1,,1,1,4,,1,2,1,1,,,,,,0,txs018600,terje saar hambazaza
"Biswas, Madhavi",,,,,,LIT,2331,501,,8,9,2,1,,2,,,,,,1,,,,,,0,mxb128930,madhavi biswas
"Cotter, Sean J",,,,,,LIT,3312,001,,6,1,4,3,2,4,4,,,,,3,,,,,,1,sjc010100,sean cotter
"Brewer, Kenneth L",,,,,,LIT,3321,501,2,15,6,5,6,3,2,,1,,,,2,,,,,,1,klb092000,kenneth brewer
"Starnaman, Sabrina",,,,,,LIT,3323,501,2,4,2,7,1,4,,1,,,1,,1,,,,,,1,sxs090100,sabrina starnaman
"Starnaman, Sabrina",,,,,,LIT,3329,001,9,7,1,6,2,3,1,,1,,,,,,,,,,2,sxs090100,sabrina starnaman
"Ozsvath, Zsuzsanna",,,,,,LIT,3343,501,1,5,7,7,3,2,1,1,,,,,2,,,,,,1,zozsvath,zsuzsanna ozsvath
"Palant, Jonathan",,,,,,MUSI,2127,001,,18,,,,,,,,,,,,,,,,,0,jxp170230,jonathan palant
"Parsoneault, Catherine",,,,,,MUSI,2317,003,5,4,2,,1,3,,1,1,1,1,,1,,,,,,0,cxp160030,catherine parsoneault
"Amato, Lawrence A","del Bosque, Isai",,,,,PHIL,1301,501,4,1,5,9,8,11,5,5,5,2,2,3,5,,,,,,4,laa062000,lawrence amato
"Amato, Lawrence A",,,,,,PHIL,2316,501,4,8,9,3,8,3,1,1,,,,,3,,,,,,2,laa062000,lawrence amato
"Camacho-Guardado, Lorena",,,,,,SPAN,4364,001,10,4,3,,,,,,,,,,,,,,,,0,lxc163230,amalia lorena camacho guardardo
"Noland, Jeff",,,,,,FIN,3395,501,,5,3,4,2,4,,,,,,,,,,,,,0,jxn125330,jeff noland
"Gafford, Jerome M",,,,,,MKT,3330,502,9,5,5,2,1,3,,,,,,,1,,,,,,2,jmg171130,jerome gafford
"Golden, Richard",,,,,,ACN,6349,5H1,,9,6,,,,,,,,,,,,,,,,0,golden,richard golden
"Kelly, Mary Lena U",,,,,,SCI,5326,501,,4,,,1,,,,,,,,1,,,,,,0,mlk023000,mary urquhart
"Amirpour, Semiramis",,,,,,MKT,3330,006,15,5,1,1,3,1,,,,,,1,1,,,,,,1,sxa130731,semiramis amirpour
"Henslee, Austin","Mohan, Karthik",,,,,MIS,6346,501,,8,9,8,6,2,,,,,,,,,,,,,0,axh134230,austin henslee
"Dogan, Kutsal","Chanda, Dipendu",,,,,MIS,6326,002,,15,9,15,10,9,,1,,,,,,,,,,,0,kxd025000,kutsal dogan
"Thouin, Mark","Gajjar, Sarthak V","Gharge, Padmaja",,,,MIS,6360,0W1,,40,8,,2,,1,,,,,,,,,,,,0,mxt083000,mark thouin
"Henslee, Austin","Mohan, Karthik",,,,,BUAN,6346,501,,7,6,7,3,2,,,,,,,,,,,,,0,axh134230,austin henslee
"Xia, Jun",,,,,,BPS,7302,001,,6,1,2,,,,,,,,,,,,,,,0,jxx132030,jun xia
"Park, Haemin",,,,,,BPS,7307,001,,2,5,1,1,,,,,,,,,,,,,,0,hxp174230,haemin park
"Dogan, Kutsal","Chanda, Dipendu",,,,,MIS,6326,003,,13,6,11,9,4,,3,,,,,1,,,,,,1,kxd025000,kutsal dogan
"Straach, Janell","Ledbetter, Cheryl","Hu, Xinyu",,,,SE,6388,001,,6,,2,,1,,2,,,,,,,,,,,0,jxs017800,janell straach
"Lee, Seunghyun","Jung, Young-Hoon",,,,,IMS,4373,001,,5,18,4,2,2,1,,,,,,,,,,,,0,sxl029100,
"Harrison, Richard","Kemp, Ayenda",,,,,OB,6V99,501,,10,,,2,,,1,,,,,,,,,,,1,harrison,richard harrison
"Carlsen-Landy, Beverly L",,,,,,SOC,3331,0W1,5,5,5,3,7,6,2,,1,3,,2,2,,,,,,0,blc120130,beverly carlsen landy
"Lanham, Carol C","Love-Hal, Jewell N",,,,,SOC,3343,001,1,16,16,7,9,8,6,2,1,2,,,5,,,,,,1,ccl054000,carol lanham
"Hennessy, Emily T",,,,,,ED,4343,001,12,3,2,,,,,,,,,,,,,,,,0,eft031000,emily hennessy
"Simoni, Zachary","Love-Hal, Jewell N",,,,,SOC,4371,001,12,24,19,6,4,5,2,,,1,,,,,,,,,1,zrs160030,zachary simoni
"Skaggs, Sheryl L",,,,,,SOC,6344,001,,11,1,,,,,,,,,,1,,,,,,1,slskaggs,sheryl skaggs
"Smith, Erin",,,,,,AMS,2341,HN1,1,8,5,2,2,4,1,,1,,,,1,,,,,,0,erins,erin smith
"Baetge, Claire",,,,,,HLTH,1301,0W2,2,10,7,2,8,2,1,1,,,,,,,,,,,0,cxb170330,claire baetge
"Werhnyak, Larissa",,,,,,ISIS,4V89,001,,3,3,1,4,4,1,,1,,,,,,,,,,0,lxw163630,larissa werhnyak
"Hooton, Edward",,,,,,MATH,1325,007,1,3,9,5,,1,,3,2,3,4,2,10,,,,,,3,exh121730,
"Norwood, John",,,,,,MATH,1325,009,8,2,13,3,4,5,5,1,1,,1,1,3,,,,,,0,jxn142530,john norwood
"Pogue, Neall W",,,,,,ISIS,4V89,501,,4,,4,10,2,,1,,,,,,,,,,,2,nxp174730,neall pogue
"Mussa, Derege",,,,,,MATH,1326,005,12,6,3,3,1,2,2,1,4,2,3,2,3,,,,,,3,dxm146130,derege mussa
"Rice, David",,,,,,MATH,1326,007,3,5,2,4,4,,2,8,3,1,1,1,8,,,,,,4,dxr143630,david rice
"Chika, Charles E",,,,,,MATH,2312,005,6,3,4,5,2,2,5,5,2,2,1,1,7,,,,,,2,cec140330,charles chika
"Li, Changsong",,,,,,MATH,2415,003,2,21,2,5,14,1,4,8,,3,2,,8,,,,,,2,cxl109120,changsong li
"Hoang, Trang T",,,,,,PA,3378,001,10,7,3,,3,2,,1,,,,,1,,,,,,0,tth130030,
"Benavides, Teodoro J",,,,,,PA,4351,001,,8,,,2,,,,,,,,,,,,,,0,tjb051000,teodoro benavides
"Goeckner, Matthew",,,,,,NATS,1101,022,20,5,3,,1,2,2,,,,1,1,,,,,,,0,goeckner,matthew goeckner
"Goeckner, Matthew",,,,,,NATS,1101,023,30,2,,1,2,,,,,,,,,,,,,,1,goeckner,matthew goeckner
"Candas, Mehmet",,,,,,NATS,1101,024,,33,,,,,,,,,,,,,,,,,0,candas,mehmet candas
"Horner, Natasha","Goeckner, Matthew",,,,,NATS,1101,026,,34,,,2,,,,,,,,,,,,,,0,nxh171630,
"Packard, Christopher J",,,,,,PA,6342,001,,10,3,1,1,1,,1,,,,,,,,,,,0,tjb051000,teodoro benavides
"Lee, Young-Joo",,,,,,PA,6382,501,,6,2,2,2,1,,,,,,,,,,,,,0,yxl093000,young joo lee
"Duncan, Monique N",,,,,,UNIV,2114,PA1,,,,,,,,,,,,,,,20,,,,0,mxd127830,monique duncan
"Duncan, Monique N",,,,,,UNIV,2114,PA2,,,,,,,,,,,,,,,20,,,,0,mxd127830,monique duncan
"Dover, Howard F","Shuang, Qian",,,,,MKT,4331,001,,21,,2,9,,,,,,,,,,,,,,1,hfd021000,howard dover
"Smith, Kenneth L",,,,,,FIN,6301,005,,14,1,,5,4,,,,,,,,,,,,,1,kls110030,ken smith
"Springate, David J",,,,,,FIN,6355,001,,4,3,1,2,1,,,,,,,,,,,,,0,spring8,david springate
"Dabkowski, Mieczyslaw K","Lama, Sonam",,,,,MATH,2420,HN1,6,8,,2,1,,,1,,,,,1,,,,,,0,mkd034000,mieczyslaw dabkowski
"Ramakrishna, Viswanath","Akrobotu, Prosper D",,,,,MATH,2417,HN1,14,6,,,,,,,,,,,,,,,,,0,vish,viswanath ramakrishna
"Prasad, Ashutosh",,,,,,MKT,6301,503,,10,3,3,1,,,,,,,,,,,,,,0,aprasad,ashutosh prasad
"Kumar, Nanda","Bhave, Ashutosh C",,,,,MKT,6323,001,,13,,,9,,,1,,,,,,,,,,,0,nkumar,nanda kumar
"Saeed, Kashif","Shanmukh, Shravya",,,,,MIS,6309,0W2,,11,10,10,10,,,,,,,,,,,,,,0,kxs147230,kashif saeed
"Saeed, Kashif","Jain, Mohit",,,,,MIS,6345,0W1,,12,8,6,2,,,,,,,,,,,,,,0,kxs147230,kashif saeed
"Saeed, Kashif","Jain, Mohit",,,,,BUAN,6345,0W1,,6,1,3,9,2,,,,,,,,,,,,,0,kxs147230,kashif saeed
"Henslee, Austin","Mohan, Karthik",,,,,BUAN,6346,502,,14,13,14,8,5,,,,,,,,,,,,,0,axh134230,austin henslee
"Murphy, Jessica C",,,,,,HONS,3199,H10,,14,,,,,,,,,,,,,,,,,0,jxm092000,jessica murphy
"Miller, Van S",,,,,,HONS,3199,H13,6,9,,,,,,,,,,,,,,,,,0,vxm077000,van miller
"Rankin, Monica A",,,,,,HONS,3199,H19,,10,,,,,,,,,,,,,,,,,0,mar046000,monica rankin
"Saeed, Kashif","Shanmukh, Shravya",,,,,ACCT,6309,0W2,,1,,4,1,,,,,,,,,,,,,,2,kxs147230,kashif saeed
"Dodge, Nathan B",,,,,,EE,2310,001,28,5,2,2,1,,6,1,2,1,,1,4,,,,,,0,dodge,nathan dodge
"Dodge, Nathan B",,,,,,EE,2310,501,19,3,1,4,6,5,2,2,5,1,,1,5,,,,,,3,dodge,nathan dodge
"Florence, James M","Abbasalipour, Amin","Baral, Ashwin Bhobani","Kumar, Varun Subramaniam",,,EE,1100,001,,19,14,6,15,9,5,3,,,3,,4,,,,,,3,jmf130530,james florence
"Florence, James M",,,,,,EE,1100,002,,21,12,6,21,7,6,8,3,,,,6,,,,,,0,jmf130530,james florence
"Florence, James M",,,,,,EE,1100,003,,16,10,11,16,15,6,6,1,,2,,2,,,,,,4,jmf130530,james florence
"Thamban, P.L.Stephan","Garimella, Martand Mayukh",,,,,MECH,2330,501,1,2,,5,3,2,1,3,4,2,3,,,,,,,,0,stephan,p l stephan thamban
"Khan, Ziaullah","Kadiyala, Krishna P","Shams, Shahab","Chaparro Arenas, Oscar Javier",,,CS,3345,502,15,3,7,7,4,3,4,1,,,,,2,,,,,,1,kkhan,ziaullah khan
"Vidyasagar, Mathukumalli",,,,,,MECH,6323,001,,5,6,2,,1,,,,,,,,,,,,,0,mxv091000,mathukumalli vidyasagar
"Dissanayake, Dushanthi S","Weiland, Ashley",,,,,CHEM,1111,602,6,14,7,,1,1,,,,,,,,,,,,,1,dxd122030,dushanthi dissanayake
"Karunathilake, Arosha A","Sturgeon, Grant J",,,,,CHEM,1111,603,8,15,1,,,2,,,,,1,,3,,,,,,0,axk113330,
"Dissanayake, Dushanthi S","Ren, Yi Xin",,,,,CHEM,1111,604,4,16,2,1,,1,,2,1,,1,,,,,,,,2,dxd122030,dushanthi dissanayake
"Higgins, Austin M",,,,,,FIN,4390,501,11,15,,,,,,,,,,,,,,,,,0,amh099020,austin higgins
"Huang, Yu","Jayawickramage, Rangana Aloka",,,,,CHEM,1311,006,4,9,9,9,9,18,9,9,12,6,9,2,24,,,,,,5,yxh091220,yu huang
"Shah, Shailesh N","Shamir, Alexandra","Saavedra, Daniel P",,,,CHEM,2123,125,6,19,4,,,,,,,,,,,,,,,,0,sns170230,shailesh shah
"Lv, Bing","Wu, Hanlin",,,,,PHYS,2325,003,17,10,6,9,12,10,3,8,5,7,1,,8,,,,,,2,bxl152230,bing lv
"Mcmechan, George",,,,,,GEOS,5384,001,,1,1,4,1,,,,,,,,,,,,,,0,mcmec,
"Griffin, William R","Hetti Pathirannehelage, Diluni Ayeshika W",,,,,GEOS,3421,001,4,2,3,8,2,1,,,,,,,,,,,,,0,griffin,william griffin
"Shilpakar, Prabin","Landreneau, Lauren A","Sokol, Sarah A",,,,GEOS,1303,003,1,1,2,3,1,4,5,3,,2,2,,3,,,,,,3,pxs077000,prabin shilpakar
"Dodge, Nathan B",,,,,,CE,2310,001,14,2,,1,4,4,1,,1,1,2,,6,,,,,,0,dodge,nathan dodge
"Dodge, Nathan B",,,,,,CE,2310,501,10,,2,,7,1,,1,3,1,1,1,2,,,,,,2,dodge,nathan dodge
"Khan, Ziaullah","Kadiyala, Krishna P","Shams, Shahab","Chaparro Arenas, Oscar Javier",,,SE,3345,502,1,,,2,4,,,3,,,1,,,,,,,,0,kkhan,ziaullah khan
"Sibert, John W",,,,,,CHEM,1115,HN1,6,22,2,,,,,,,,,,,,,,,,0,sibertj,john sibert
"Sibert, John W",,,,,,CHEM,1315,HN1,5,11,3,4,2,4,,1,,,,,,,,,,,0,sibertj,john sibert
"Thompson, Christina M","Ahmadi-Tehrani, Dara",,,,,CHEM,2127,HN1,15,5,,,,,,,,,,,,,,,,,1,cmt120030,christina thompson
"Biewer, Michael C",,,,,,CHEM,2327,HN1,,13,1,2,1,2,1,,1,,,,,,,,,,1,biewerm,michael biewer
"Chan, Julia Y",,,,,,CHEM,5341,001,,5,,5,2,,,1,,,,,1,,,,,,1,jyc130130,julia chan
"Zheng, Jie",,,,,,CHEM,6V59,001,,3,4,,,,,,,,,,,,,,,,0,jxz087000,jie zheng
"Meloni, Gabriele",,,,,,CHEM,6361,501,,1,7,1,1,2,,,,,,,,,,,,,0,gxm152330,gabriele meloni
"Ali, Mohammed Z","Mitra, Arkadeep",,,,,ENGR,2300,001,,24,,6,8,4,1,6,,,,,,,,,,,0,mohammed,ali mohammed
"Deluke, Eugene","Patil, Lalit D",,,,,OPRE,3310,0W2,1,13,,3,13,,1,12,,,3,,,,,,,,0,gxd052000,eugene deluke
"Heins, Matthew S","Yao, Haohan",,,,,EERF,7V89,001,,21,,,,,,,,,,,,,,,,,0,msh130130,matthew heins
"Sethi, Awanti","Chen, Jiayu",,,,,OPRE,6301,502,,14,8,13,9,2,4,5,,,,,2,,,,,,4,asethi,awanti sethi
"Grigsby, Mike",,,,,,MKT,6V99,001,,5,,,8,,,,,,,,,,,,,,0,mxg153330,mike grigsby
"Moshier, Jeffrey H",,,,,,MKT,4V93,501,2,2,2,1,1,4,1,1,,,,,,,,,,,2,jhm061000,jeffrey moshier
"Morgan, Barbara",,,,,,ECS,3390,007,,1,2,4,5,,1,1,1,,,3,,,,,,,1,bem160830,barbara morgan
"Dickson, Deborah W",,,,,,ECS,3390,008,,5,4,9,,,,,1,,,,,,,,,,0,dwd150030,deborah dickson
"Ware, Taylor H",,,,,,BMEN,6V87,002,,1,3,1,1,,,1,,,,,,,,,,,0,thw090020,
"Torlak, Murat","Baral, Ashwin Bhobani",,,,,EESC,6390,001,,7,3,5,5,4,,,,,,,,,,,,,0,torlak,murat torlak
"Kehtarnavaz, Nasser","Dawar, Neha",,,,,EESC,6363,001,,3,7,3,8,2,4,4,,,,,,,,,,,3,nxk019000,nasser kehtarnavaz
"Nosratinia, Aria",,,,,,EESC,6344,001,,4,3,,,,,,,,,,,,,,,,1,aria,aria nosratinia
"Fey, Nicholas","Li, Wentao",,,,,BMEN,2320,003,,8,,,13,,,7,,,1,,1,,,,,,0,nxf160530,nicholas fey
"Case, Allison B","Shimizu, Eileen N",,,,,BMEN,3130,101,,4,5,2,,,,2,1,,,,1,,,,,,1,abc130530,allison case
"Dai, Xianming",,,,,,MECH,6375,001,,5,5,1,,,,,,,,,1,,,,,,0,xxd161630,xianming dai
"Hazzard, Charles F",,,,,,IMS,3310,HO2,4,6,2,1,,,,,,,,,,,,,,,0,cxh056000,charles hazzard
"Schlereth, Eric R","Hanna, John M",,,,,HIST,1301,013,,12,10,8,18,13,10,5,3,3,1,,4,,,,,,2,exs082000,eric schlereth
"Morales, Linda","Hogue, Steven D",,,,,CS,3305,002,5,10,9,6,7,8,,11,,,1,,1,,,,,,10,lxm014000,linda morales
"Zhou, Xiaolu",,,,,,ACCT,2301,007,3,10,5,4,7,10,,8,5,,5,,3,,,,,,0,xxz142230,xiaolu zhou
"Meier, Jean-Marie","Chen, Chen",,,,,FIN,4310,003,9,2,4,2,,5,3,4,4,3,2,,2,,,,,,1,jmm172030,jean marie meier
"Webb, Jennifer H","Park, Jinkyu",,,,,EE,3302,002,3,11,13,11,5,4,1,1,,,,,1,,,,,,0,jhw170130,jennifer webb
"Fahimi, Babak","Luo, Ziyang",,,,,EE,3301,002,,8,,1,3,1,5,2,1,,1,,5,,,,,,1,bxf102000,babak fahimi
"Webb, Jennifer H","Park, Jinkyu",,,,,CE,3302,002,1,,2,1,2,3,1,,,,,,,,,,,,0,jhw170130,jennifer webb
"Fahimi, Babak","Luo, Ziyang",,,,,CE,3301,002,,,1,2,1,2,6,3,,,4,,1,,,,,,0,bxf102000,babak fahimi
"Root, Alexey",,,,,,ED,4358,0W2,5,11,,,3,,,,1,,,,,,,,,,1,aroot,alexey root
"Radhakrishnan, Suresh","Varghese, Danny",,,,,ACCT,6301,MBC,,31,13,6,3,,,,,,,,,,,,,,0,sradhakr,suresh radhakrishnan
"Ali, Ashiq","Kale, Devendra",,,,,ACCT,6301,0W1,,10,15,5,5,3,2,,,,,,,,,,,,3,axa042200,ashiq ali
"Guler, Lale",,,,,,ACCT,6301,501,,29,3,6,6,3,3,3,,,,,1,,,,,,1,lxg152230,lale guler
"Radhakrishnan, Suresh","Varghese, Danny",,,,,ACCT,6301,MBP,,25,13,3,3,,,,,,,,,,,,,,1,sradhakr,suresh radhakrishnan
"Peabody, Stephen D","Suntreerat, Patchara",,,,,FIN,3320,010,4,6,7,5,3,5,2,2,7,,2,2,2,,,,,,1,sdp093020,
"Davis, Renee",,,,,,ED,4351,001,10,9,5,1,1,,,,,,,,,,,,,,0,rrd160530,renee davis
"Farmer, J Michael",,,,,,HIST,4358,001,,3,1,4,7,4,3,6,1,1,1,2,1,,,,,,2,jmf073000,michael farmer
"Ferguson, John F",,,,,,GEOS,5381,001,,5,,,2,,,,,,,,,,,,,,0,ferguson,john ferguson
"Ramakrishna, Viswanath",,,,,,MATH,4301,002,3,2,1,1,2,,1,,1,,,,1,,,,,,1,vish,viswanath ramakrishna
"Case, Allison B",,,,,,BMEN,7341,001,,21,,,,,,,,,,,,,,,,,0,abc130530,allison case
"Knight, Kim A",,,,,,ATCM,6300,001,,8,2,2,,2,1,,,,,,,,,,,,0,kak102020,kim knight
"MacDonald, Dale W",,,,,,ATCM,6304,001,,8,,,,,,,,,,,,,,,,,0,dwm160130,
"Johnson, Casey A",,,,,,ATCM,6305,001,,1,3,1,3,1,,,,,,,,,,,,,0,caj150430,casey johnson
"McComber, Sean",,,,,,ATCM,6312,001,,3,,,3,,,1,,,,,,,,,,,0,sxm129130,sean mccomber
"Scott, Andrew F",,,,,,ATCM,6321,001,,9,,,,,,,,,,,,,,,,,0,afs140330,andrew scott
"Malina, Roger F",,,,,,ATCM,6325,501,,3,4,2,,,,,,,,,,,,,,,1,rxm116130,
"Nguyen, Josef D",,,,,,ATCM,6336,001,,1,2,1,1,,,,,,,,1,,,,,,0,jdn160330,josef nguyen
"Nazir, Cassini",,,,,,ATCM,6365,501,,4,2,,1,,,,,,,,,,,,,,0,cassini,cassini nazir
"Burrough, Xtine",,,,,,ATCM,6377,501,,8,2,,1,,,,,,,,,,,,,,1,cxb153930,xtine burrough
"Lee, Angela M",,,,,,ATCM,6392,501,,4,,,2,,,1,,,,,,,,,,,0,aml140530,angela lee
"Cooley, Heidi",,,,,,ATCM,7331,501,,5,3,1,,,,,,,,,,,,,,,0,hxc176430,heidi cooley
"Lester, Paul","Park, Gue Won",,,,,ATCM,1100,002,,13,,,5,,,11,,,,,3,,,,,,0,pxl152030,paul lester
"Wood, Harold G",,,,,,ATCM,1100,003,,24,,,,,,,,,,,,,,,,,0,hgw021000,harold wood
"Wood, Harold G",,,,,,ATCM,1100,004,,32,,,,,,,,,,,1,,,,,,0,hgw021000,harold wood
"Boyd, Elizabeth","Murphy, Morgan K",,,,,ATCM,1100,005,14,,7,1,2,1,,2,1,1,2,,1,,,,,,1,esp041000,elizabeth boyd
"Nielsen, Christina R","Owens, Samantha L",,,,,ATCM,1100,006,,23,2,2,3,1,1,,1,,,2,2,,,,,,0,crn022000,christina nielsen
"Porritt, Joseph","Benke, Nicholas P","Aldridge, Donna A","Nazir, Cassini",,,ATCM,2302,001,13,9,2,1,1,1,,1,,1,,,1,,,,,,0,daa170730,donna aldridge
"Porritt, Joseph","Benke, Nicholas P","Aldridge, Donna A","Nazir, Cassini",,,ATCM,2302,002,19,4,2,1,2,,,,,,,,,,,,,,0,daa170730,donna aldridge
"Hewitt, Sharon","Porritt, Joseph","Benke, Nicholas P",,,,ATCM,2302,003,11,3,5,2,1,1,3,1,2,,,,,,,,,,0,sxh090220,sharon hewitt
