Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W Total,CR,I,NC,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
CS,3360,002,13,6,11,8,6,3,,,4,,2,,2,0,,,,,"Feng, Ranran","Zhang, Chenxu","Vellingiri, Shanthi",,,,rxf090020,ranran feng
UTD,EXCM,001,,,,,,,,,,,,,,0,,,,,,,,,,,,
ENGR,3300,007,,3,5,1,11,6,,15,6,,3,1,2,3,,,,,"Florence, James M","Gandluru, Veerabharathchandrareddy",,,,,jmf130530,james florence
CS,3377,0W1,,12,8,5,8,10,,1,1,,3,,5,3,,,,,"Nguyen, Nhut",,,,,,nhutnn,nhut nguyen
ENGR,3300,005,11,3,,1,4,4,1,4,9,,1,5,11,2,,,,,"Saad, Ricardo E","Tokgoz, Serkan","Samadian, Azadeh",,,,rsaad,ricardo saad
ENGR,3341,007,2,4,6,5,5,5,3,6,4,3,6,2,3,2,,,,,"Myers, Kathleen","Winter, Patrick M","Quayum, Ayon",,,,kxm156530,kathleen myers
ENGR,3341,001,,10,2,3,11,5,,12,4,2,4,,1,2,,,,,"Gelb, Lev D","Noor Shoudha, Shamman",,,,,ldg102020,lev gelb
HLTH,4306,001,2,6,8,,9,5,9,2,7,2,1,1,3,1,,,,,"Savard, Ryan R",,,,,,rrs170330,ryan savard
BMEN,4V95,003,5,5,6,5,8,5,5,1,4,,4,4,3,1,,,,,"Ardestani Khoubrouy, Soudeh","Hedden, Brian",,,,,sxa074200,soudeh ardestani khoubrouy
MECH,2320,002,1,9,10,10,10,10,2,1,,,,,2,1,,,,,"Ryu, III","Nguyen, Cuong P",,,,,ixr161130,iii ryu
CS,1134,102,39,4,1,3,,,1,2,,1,,,4,1,,,,,"Doore, Karen L",,,,,,kld054000,karen doore
MKT,3300,012,,11,3,12,9,3,3,7,3,1,1,3,,0,,,,,"Wu, Fang","Qian, Kun",,,,,fxw052000,fang wu
CS,3354,001,,26,8,7,10,,4,,,,,,1,0,,,,,"Cankaya, Ebru C","Wang, Xiaoyu",,,,,exc067000,ebru cankaya
ITSS,4360,501,4,12,11,14,6,6,2,1,,,,,,0,,,,,"Howe, Nate","Choudhary, Aarzoo",,,,,nxh141030,nate howe
EE,4310,001,,18,,5,15,4,3,4,2,,1,,4,0,,,,,"Skinner, Neal G","Zhang, Yujie","Qiu, Yuning",,,,skinner,neal skinner
FIN,6325,001,,23,10,12,11,,,,,,,,,0,,,,,"Xia, Han (Victor)",,,,,,hxx110930,han (victor) xia
BUAN,6340,003,,27,10,12,7,,,,,,,,,0,,,,,"Ge, Ling","Panthagani, Phanindra",,,,,,ling ge
CS,3354,004,33,17,2,,2,,1,1,,,,,,0,,,,,"Cankaya, Ebru C","Ashtiani, Omeed E",,,,,exc067000,ebru cankaya
SE,3306,001,28,10,3,2,4,1,1,1,,,1,,3,3,,,,,"Belavadi, Vibha Chandramouli",,,,,,,vibha chandramouli belavadi
BIOL,3370,001,10,14,6,8,5,6,2,1,1,,1,,1,2,,,,,"Hill, Brenna R",,,,,,brh140230,brenna hill
MKT,3300,001,,7,3,4,10,11,5,8,4,1,1,,1,2,,,,,"Wu, Fang","Qian, Kun","Roshangarzadeh, Reza",,,,fxw052000,fang wu
MATH,3310,002,12,13,6,5,4,4,4,3,2,,1,1,1,1,,,,,"Dabkowska, Malgorzata A","Burnett, Joseph V",,,,,mxd066000,malgorzata dabkowska
EE,3320,001,2,12,13,9,4,3,6,1,2,2,,,2,1,,,,,"Bhatia, Dinesh","Shahshahani, Masoud",,,,,dinesh,dinesh bhatia
ITSS,3300,501,4,24,10,4,4,3,1,1,,,,,5,1,,,,,"Fuller, Tony F","Tang, Ping",,,,,tff170130,tony fuller
COMD,6240,001,,57,,,,,,,,,,,,0,,,,,"Touchstone, Emily W",,,,,,exw010200,emily touchstone
MKT,3340,501,4,22,11,6,6,3,2,3,,,,,,0,,,,,"Hudelot, Loretta F",,,,,,lfh170000,loretta hudelot
CS,3340,002,5,7,8,7,5,5,6,6,3,3,,1,1,0,,,,,"Mazidi, Karen J",,,,,,kjm160430,karen mazidi
MATH,3379,001,3,12,8,7,8,2,3,3,2,3,2,,4,0,,,,,"Hooshyar, Mohammad","Dabkowski, Mieczyslaw K",,,,,ali,mohammad hooshyar
MECH,3350,001,,11,7,7,10,9,5,5,3,,,,,0,,,,,"Park, Wooram","Yu, Haoliang","Park, Sungju",,,,wxp103020,wooram park
MIS,6380,001,,10,12,6,17,7,2,3,,,,,,0,,,,,"Bradbury, Judd D","Kulkarni, Aniket S","Muntha, Sainath",,,,jdb101000,judd bradbury
HMGT,3301,003,14,23,5,4,5,3,,2,1,,,,,0,,,,,"Walton, James W",,,,,,jww160330,james walton
MECH,3310,001,8,5,7,15,13,1,3,2,,,1,,2,0,,,,,"Ouyang, Hui","Sarma, Jyotirmoy",,,,,hxo150330,hui ouyang
ACCT,3101,PPA,,,,,,,,,,,,,,1,57,,,,"Bortz, Tiffany A","Sarman, Patrick R",,,,,tabortz,tiffany bortz
OPRE,3310,501,1,6,5,2,6,4,5,12,4,1,6,1,,5,,,,,"Kuo, Ching-Chung","Takasi, Venkanna Dora Goutham",,,,,cxk162830,ching chung kuo
HLTH,1322,0W1,,8,7,6,10,8,1,5,2,,4,,3,3,1,,,,"Day, Lora N",,,,,,lnd092000,lora day
HMGT,3301,001,,11,17,6,6,6,4,2,,1,1,,1,3,,,,,"Fleming, Forney F","Khelani, Tarun M",,,,,fwf081000,forney fleming
ITSS,3300,008,4,18,5,5,3,4,4,1,,2,,1,9,2,,,,,"Hansen, Atanas Y","Zhu, Wangsheng",,,,,ayt061000,atanas hansen
CS,1337,012,23,8,9,1,8,4,,1,1,1,,,,2,,,,,"McMahan, Timothy",,,,,,txm173230,timothy mcmahan
BUAN,6398,001,,18,1,9,23,1,,5,,,,,,1,,,,,"Alimirzaei, Athena","Seripalli, Dilip Kumar",,,,,axa134231,athena alimirzaei
BUAN,6337,004,,20,1,5,24,,,7,,,,,,1,,,,,"Grigsby, Mike",,,,,,mxg153330,mike grigsby
CS,1334,002,3,17,4,7,13,1,2,3,,1,1,,5,1,,,,,"Arnold, Gordon L",,,,,,gxa120930,gordon arnold
OBHR,3310,006,22,21,7,6,,1,,,,,,,,1,,,,,"Boncoeur, Olivier D",,,,,,,olivier boncoeur
CS,6360,003,,14,19,9,11,3,1,,,,,,,1,,,,,"Davis, Chris I","Karki, Dipendra",,,,,cid021000,chris davis
IMS,3310,013,,7,2,3,12,15,3,14,,,,,1,1,,,,,"Qian, Cuili","Liao, Xin",,,,,cxq170330,cuili qian
CS,4347,005,7,24,13,5,3,1,2,1,,,,,1,1,,,,,"Wu, Wei L","Ghosh, Smita",,,,,wxw020100,wei wu
CS,6363,003,,23,9,25,1,,,,,,,,,0,,,,,"Bereg, Sergey","Dong, Zheng",,,,,sxb027100,sergey bereg
BUAN,6398,003,,25,1,9,16,1,2,4,,,,,,0,,,,,"Alimirzaei, Athena","Seripalli, Dilip Kumar",,,,,axa134231,athena alimirzaei
CE,4348,001,,10,,,34,,,14,,,,,,0,,,,,"Goodrum, Richard A","Yu, Xinyue","Chappidi, Sruthi",,,,rag150330,richard goodrum
ACCT,3341,001,5,8,14,11,7,7,1,4,,,1,,,0,,,,,"Sadka, Gil","Chu, Yu Fang","Fan, Zhongwen",,,,gxs143630,gil sadka
CS,3345,501,8,8,4,5,8,6,16,,2,,,,1,0,,,,,"Khan, Ziaullah",,,,,,kkhan,ziaullah khan
MKT,6352,001,,26,7,8,13,4,,,,,,,,0,,,,,"Tirone, Guido",,,,,,gxt170001,guido tirone
CS,2336,501,17,8,11,14,2,3,2,,1,,,,,0,,,,,"Khan, Ziaullah",,,,,,kkhan,ziaullah khan
FIN,6360,001,,9,8,14,26,1,,,,,,,,0,,,,,"Zhao, Feng","Lee, Pil-Seng",,,,,fxz082000,feng zhao
SOC,3325,0W1,18,24,,6,7,,1,1,,,,,1,0,,,,,"Malek-Ahmadi, John H",,,,,,jhm110020,john malek ahmadi
MECH,2310,001,,2,3,3,13,5,4,12,1,1,3,,11,0,,,,,"Blanchard, Andrew","Gleason, Glenn H",,,,,,andrew blanchard
BUAN,6312,001,,8,11,11,11,13,3,,,,,,1,0,,,,,"Blueshtein, Moran","Oyima-Antseleve, Ndackyssa",,,,,mxb135230,moran blueshtein
FIN,3320,014,1,8,7,3,10,2,1,17,3,,3,,1,3,,,,,"Manzi, Jeff",,,,,,jxm158130,jeff manzi
CS,2336,004,23,4,5,3,2,1,1,2,2,2,2,,9,3,,,,,"Nouroz Borazjany, Mehra",,,,,,mxn143230,mehra nouroz borazjany
ACCT,2302,006,6,5,3,10,8,5,,13,,1,4,2,,2,,,,,"Dai, Zhonglan","Li, Chenchen",,,,,zxd051000,zhonglan dai
MKT,3320,001,1,12,17,7,3,7,2,,1,,1,1,5,2,,,,,"Haworth, Julie B",,,,,,haworth,julie haworth
FIN,3320,004,6,4,9,5,9,7,10,2,,2,1,2,,2,,,,,"Rupp, Anin D",,,,,,,anin rupp
FIN,3320,009,1,9,2,4,11,4,5,7,5,2,2,2,3,2,,,,,"Ma, Liping","Guo, Shujian",,,,,lxm133730,liping ma
HMGT,3301,004,6,28,9,7,4,2,,1,,,,,,2,,,,,"Berrett, Britt R","Janakiraman, Sreenath",,,,,brb051000,britt berrett
CS,3305,003,13,8,4,1,10,5,2,9,2,1,1,,2,1,,,,,"Feng, Ranran",,,,,,rxf090020,ranran feng
FIN,3320,013,,9,1,2,10,6,1,20,1,1,2,2,3,1,,,,,"Manzi, Jeff",,,,,,jxm158130,jeff manzi
CRIM,3312,001,3,8,9,7,10,1,7,7,3,1,2,,,1,,,,,"Jacobs, Bruce A",,,,,,baj034000,bruce jacobs
OBHR,3330,501,4,7,4,,17,10,6,5,1,,,,4,1,,,,,"Weekley, Jeff A","Wijewardana, Galuge Hansani M",,,,,jaw160330,jeff weekley
CS,4348,001,3,6,9,6,7,11,4,4,3,2,1,1,1,1,,,,,"Ozbirn, Greg A","Mi, Feng",,,,,ozbirn,greg ozbirn
MATH,2419,005,2,2,3,3,5,3,5,4,17,2,3,,9,1,,,,,"Eydelzon, Anatoly",,,,,,axe031000,anatoly eydelzon
FIN,3320,001,8,4,9,4,10,7,4,4,1,4,1,1,1,1,,,,,"Murray, Jennifer R",,,,,,jrm160330,jennifer murray
MATH,2419,007,,4,3,3,4,10,3,6,9,1,1,1,13,1,,,,,"Eydelzon, Anatoly",,,,,,axe031000,anatoly eydelzon
CS,1136,101,32,8,3,2,5,1,1,1,,,4,,1,1,,,,,"Vogel, Don G","Perkins, Stephen J",,,,,dgv130030,don vogel
MECH,4380,001,2,6,7,11,16,6,3,2,3,1,1,,,1,,,,,"Hassanipour, Fatemeh","Azarnoosh, Jamasp",,,,,fxh091000,fatemeh hassanipour
FIN,4310,001,2,9,8,7,9,9,10,,3,1,,,1,0,,,,,"Anderson, Frank W",,,,,,fwa012000,frank anderson
FIN,3330,002,8,25,,7,11,,3,1,,1,2,,1,0,,,,,"Chapman, Juliann G","Kim, Kyuri",,,,,jgc160130,juliann chapman
ITSS,3300,502,,39,6,5,4,1,1,2,,,,,1,0,,,,,"Owens, Sean M","Luo, Ning",,,,,smo150330,sean owens
HMGT,3310,501,17,14,16,4,4,1,,1,,2,,,,0,,,,,"Tesmer, Kristin M",,,,,,kmj063000,kristin tesmer
CS,4390,003,3,2,5,8,7,12,7,6,2,2,3,,2,0,,,,,"Le, Khiem V","Zhou, Shuang",,,,,kvl140030,khiem le
OBHR,3330,003,9,17,11,13,3,3,,,1,,,,2,0,,,,,"Meda, Edward","Tsai, Lin",,,,,exm150330,edward meda
OBHR,3330,005,2,5,9,9,17,7,4,3,1,1,,,1,0,,,,,"Weekley, Jeff A","Wijewardana, Galuge Hansani M",,,,,jaw160330,jeff weekley
MKT,3300,006,4,16,8,12,10,,6,3,,,,,,0,,,,,"Pacyna, Sandra",,,,,,sxp158130,sandra pacyna
CS,4347,006,2,21,7,5,14,4,2,2,1,,1,,,0,,,,,"Kumar, Pushpa S","Lu, Jing",,,,,pkumar,pushpa kumar
FIN,3320,016,1,3,2,2,11,5,6,10,6,3,3,,4,4,,,,,"Murray, Jennifer R",,,,,,jrm160330,jennifer murray
PSCI,4314,001,2,13,11,10,8,4,3,4,1,,,,1,3,,,,,"Ho, Karl",,,,,,kxh022100,karl ho
CS,3305,006,,14,8,8,8,7,3,2,,3,,,4,3,,,,,"Ishigaki, Genya","Salazar, Elmer E",,,,,gxi160230,genya ishigaki
STAT,3355,001,8,18,6,3,8,3,2,3,,,,,6,3,,,,,"Ammann, Larry",,,,,,ammann,larry ammann
OPRE,3333,003,15,5,3,5,7,3,4,3,4,,,2,6,3,,,,,"Enayaty Ahangar, Negin","Cha, Junwoo",,,,,nxe180001,negin enayaty ahangar
CS,4375,002,18,11,5,12,9,,,1,,,,1,1,2,,,,,"Khan, Ziaullah","Li, Xiaodi",,,,,kkhan,ziaullah khan
CS,6375,001,,42,10,3,1,,,,,,,,2,2,,,,,"Chida, Anjum",,,,,,axc157030,anjum chida
OPRE,6301,502,,21,6,7,9,6,4,1,,,,,4,2,,,,,"Sethi, Awanti","Sethi, Shravik P",,,,,asethi,awanti sethi
CS,3377,0W4,5,21,13,8,10,,,,,,,,1,2,,,,,"Kapoor, Bhanu",,,,,,bxk101000,bhanu kapoor
MECH,2320,001,5,4,10,10,12,9,2,2,1,,1,,2,2,,,,,"Bernal Montoya, Rodrigo A","Waliullah, Mohammad","Yi, Lu",,,,rab160530,rodrigo bernal montoya
IMS,3310,002,,8,,6,14,4,4,7,1,3,,2,9,1,,1,,,"Henderson, Tom",,,,,,txh093000,tom henderson
MECH,4310,001,,12,7,4,10,6,3,4,8,,2,,3,1,,,,,"Summers, Tyler H","Narayan, Meenakshi",,,,,ths150130,tyler summers
MATH,2418,004,6,8,4,5,5,2,4,8,4,4,2,2,5,1,,,,,"Pereira, Luis Felipe F",,,,,,lfp140030,luis felipe pereira
CS,3354,006,6,37,7,5,2,2,,,,,,,,1,,,,,"Smith, Klyne","Tian, Zijing",,,,,kxs180052,klyne smith
ITSS,3311,001,6,23,19,4,3,2,,,,,1,,1,0,1,,,,"Hosseini, Leila",,,,,,lxh132430,leila hosseini
ACCT,2302,007,11,6,8,6,1,7,6,3,5,2,2,1,1,0,,1,,,"Swaim, Stephanie R","Walker, Jacob N",,,,,srp065000,stephanie swaim
ISNS,2368,001,3,3,4,4,9,10,4,3,9,2,3,,5,1,,,,,"McCauley, Steven","Garcia Quintero, Cristhian J","Dhawan, Ruchika",,,,sxm165131,steven mccauley
CS,4375,001,21,8,7,7,4,3,2,1,,,3,,3,1,,,,,"Karami, Gity","Komaragiri, Vasundhara",,,,,gxk180009,gity karami
FIN,3330,001,10,33,,2,12,,,1,,,1,,,1,,,,,"Chapman, Juliann G","Kim, Kyuri",,,,,jgc160130,juliann chapman
FIN,3320,012,1,15,3,1,19,,5,8,1,1,3,,2,1,,,,,"Manzi, Jeff",,,,,,jxm158130,jeff manzi
OPRE,6302,003,,20,18,5,6,4,5,1,,,,,,1,,,,,"Honhon, Dorothee B","Khandelwal, Kumar Manglam",,,,,dbh130130,dorothee honhon
IMS,3310,004,1,8,10,13,9,12,4,,,,1,,1,1,,,,,"Woldu, Habte G","Dakshinamoorthy, Sowmika",,,,,wolduh,habte woldu
SOC,1301,0W1,,29,,,18,,,8,,,1,,3,1,,,,,"Cheun, Jacquelyn J",,,,,,jjc150830,jacquelyn cheun
MECH,3320,002,6,4,12,9,10,9,5,2,1,,,,1,1,,,,,"Qin, Zhenpeng","Syeda, Afreen",,,,,zxq140530,zhenpeng qin
MATH,2415,001,,9,2,9,8,3,6,7,1,,9,,5,1,,,,,"Makhijani, Neha",,,,,,nxm165130,neha makhijani
ITSS,4300,001,,10,4,9,14,10,8,4,,,,,,1,,,,,"Arora, Vivek","Lokkur, Ashwin P",,,,,vxa081000,vivek arora
FIN,3320,015,,19,1,3,16,3,2,9,1,1,3,,1,0,,1,,,"Manzi, Jeff",,,,,,jxm158130,jeff manzi
ITSS,4370,501,4,14,18,9,5,6,3,1,,,,,,0,,,,,"Fuller, Tony F","Mehta, Sameer",,,,,tff170130,tony fuller
OPRE,3310,002,,18,,10,21,,3,8,,,,,,0,,,,,"Hogan, James W","Purohit, Apoorva",,,,,jwh085000,james hogan
CS,6363,004,,15,9,31,5,,,,,,,,,0,,,,,"Raghavachari, Balaji","Lin, Yu",,,,,rbk,balaji raghavachari
IMS,3310,003,5,11,15,8,10,6,2,2,1,,,,,0,,,,,"Kim, Dong Shin",,,,,,dxk152130,dong shin kim
MKT,3300,011,9,23,16,7,4,,,,,,,,1,0,,,,,"Zihagh, Fereshteh",,,,,,fxz140530,fereshteh zihagh
ITSS,3300,009,2,40,7,3,6,1,,,,,1,,,0,,,,,"Owens, Sean M","Luo, Ning",,,,,smo150330,sean owens
ITSS,3300,006,1,12,6,7,15,1,4,10,1,,2,,1,0,,,,,"Short, Kevin P","Tang, Ping",,,,,kps170330,kevin short
OBHR,3310,007,,24,22,5,4,1,1,1,1,,1,,,0,,,,,"Hicks, Jeffrey N",,,,,,jnh061000,jeffrey hicks
MATH,2418,005,9,7,8,4,9,6,2,5,3,2,4,,1,0,,,,,"Dahal, Rabin",,,,,,rxd153030,rabin dahal
CS,1336,001,15,4,15,4,4,2,,,3,,4,4,5,0,,,,,"Karrah, Shyam S",,,,,,skarrah,shyam karrah
ITSS,3300,005,,14,5,6,14,,6,10,3,,1,,1,0,,,,,"Short, Kevin P","Tang, Ping",,,,,kps170330,kevin short
MKT,3300,007,2,8,3,10,,14,15,,5,,,3,,0,,,,,"Lim, Bo Ram",,,,,,bxl131330,bo ram lim
CS,6363,001,,17,13,15,10,5,,,,,,,,0,,,,,"Chandrasekaran, Ramaswamy","De, Partha",,,,,chandra,ramaswamy chandrasekaran
COMD,7221,001,,59,,,1,,,,,,,,,0,,,,,"Carter, Jessica A","Fazel, Vedad",,,,,jar032000,jessica carter
CS,3340,005,18,9,12,7,2,2,,3,2,,2,,3,0,,,,,"Karami, Gity",,,,,,gxk180009,gity karami
CS,3377,0W3,6,16,11,12,12,2,,1,,,,,,0,,,,,"Kapoor, Bhanu",,,,,,bxk101000,bhanu kapoor
FIN,3330,003,8,29,,4,10,,2,3,,3,1,,,0,,,,,"Chapman, Juliann G","Kim, Kyuri",,,,,jgc160130,juliann chapman
FIN,3330,004,10,21,,7,12,,1,4,,1,2,,2,0,,,,,"Chapman, Juliann G","Kim, Kyuri",,,,,jgc160130,juliann chapman
BUAN,6346,002,,57,2,1,,,,,,,,,,0,,,,,"Perez, Jerry","Guha, Priyanka",,,,,jxp180019,jerry perez
ACCT,3331,001,6,5,12,9,9,5,10,1,,,1,,2,0,,,,,"Yehuda, Nir","Zhou, Xiaolu",,,,,nxy130530,nir yehuda
IMS,3310,501,2,11,18,11,10,5,2,1,,,,,,0,,,,,"Kaur, Vaneet","Woldu, Habte G",,,,,,vaneet kaur
ACCT,2302,004,8,6,5,7,8,7,5,7,2,,2,,2,2,,,,,"Dai, Zhonglan","Li, Chenchen",,,,,zxd051000,zhonglan dai
OPRE,6301,501,,29,5,9,8,4,2,,,,,,3,1,,,,,"Sethi, Awanti","Sethi, Shravik P",,,,,asethi,awanti sethi
HMGT,6320,501,,38,12,6,3,,,,,,,,1,0,,,,,"Fleming, Forney F",,,,,,fwf081000,forney fleming
BUAN,6398,002,,29,,4,14,2,1,10,,,,,,1,,,,,"Alimirzaei, Athena","Seripalli, Dilip Kumar",,,,,axa134231,athena alimirzaei
MECH,3315,001,,6,10,19,6,7,9,3,1,,,,,0,,,,,"Leonardi, Stefano","Ciri, Umberto",,,,,sxl139330,stefano leonardi
MECH,3320,003,3,19,8,13,10,4,2,,1,,1,,,0,,,,,"Ouyang, Hui","Sitaula, Karuna",,,,,hxo150330,hui ouyang
MATH,2370,001,14,5,4,8,2,2,2,2,2,4,1,4,6,6,,,,,"McCary, Brady C","Babbitt, Matthew W",,,,,bcm052000,brady mccary
CS,2305,501,10,11,4,3,9,3,2,10,,2,3,1,1,3,,,,,"Farage, Timothy P",,,,,,tfarage,timothy farage
CS,3377,0W2,5,5,10,11,3,3,9,2,2,,4,2,3,3,,,,,"Min, Richard K",,,,,,rkm010300,richard min
ITSS,3300,503,7,47,2,,,1,,2,,,,,1,2,,,,,"Savoie, Michael J","Tang, Ping",,,,,msavoie,michael savoie
SE,4485,001,,60,,,1,,,,,,,,,1,,,,,"Wong, Weichen E",,,,,,wew021000,weichen wong
ITSS,3300,003,8,29,13,4,2,1,1,1,,,1,,1,1,,,,,"Varma, Rashmi","Luo, Ning","Haseman, Charles",,,,,rashmi varma
CS,4337,003,17,11,10,3,6,5,2,,4,,3,,,1,,,,,"McMahan, Timothy","Fan, Zhenbao","De, Partha","Gour, Riti",,,txm173230,timothy mcmahan
EE,4301,501,,4,1,5,11,2,6,22,5,,3,1,2,0,,,,,"Florence, James M","Chen, Jianfei",,,,,jmf130530,james florence
MATH,2420,001,1,4,1,7,6,5,2,11,15,,10,,,0,,,,,"Paudel, Ajaya B",,,,,,abp062000,ajaya paudel
ITSS,3312,001,13,9,8,5,4,8,1,5,4,1,1,1,2,0,,,,,"Sun, Geng",,,,,,gxs122530,geng sun
CS,3340,501,3,3,7,6,10,9,6,4,7,2,1,2,2,0,,,,,"Mazidi, Karen J",,,,,,kjm160430,karen mazidi
ITSS,3300,004,8,21,14,6,4,3,,,1,,2,1,2,0,,,,,"Varma, Rashmi","Luo, Ning","Haseman, Charles",,,,,rashmi varma
OPRE,6332,001,,33,6,13,6,2,1,1,,,,,,0,,,,,"Ramanathan, Kannan","Li, Changpei","Chou, Cheng-Chih",,,,kxr087000,kannan ramanathan
PSCI,3301,001,2,5,4,13,14,6,3,2,2,,2,,3,7,,,,,"Lowe, Evan","Salvador, Estefania F","Sanchez De La Rosa, Andres Ricardo",,,,exl171930,evan lowe
CS,2336,502,1,11,3,8,12,6,2,7,,,2,1,7,3,,,,,"Belkoura, Mohamed Amine",,,,,,mxb135330,mohamed amine belkoura
OPRE,3333,007,9,9,9,12,5,4,4,4,4,,,,,3,,,,,"Ahadi, Khatereh","Egbedi, Jeffrey C",,,,,kxa180010,khatereh ahadi
STAT,1342,001,9,11,6,7,9,3,3,3,4,,3,1,2,2,,,,,"Koshevnik, Yuly","Zhou, Qinyi",,,,,yxk055000,yuly koshevnik
ACCT,2301,001,1,4,,4,5,12,6,10,7,5,,,7,2,,,,,"Zhang, Jieying","Holstead, Cameron",,,,,jxz146230,jieying zhang
CLDP,3332,501,,17,4,1,16,7,3,9,,1,2,,1,2,,,,,"Shoaib, Amber","Smith, Olivia",,,,,,amber shoaib
ITSS,3312,501,8,7,11,14,16,2,3,,,,,,1,1,,,,,"Bao, Chenzhang",,,,,,cxb121930,chenzhang bao
SE,4381,001,,7,13,13,14,7,6,2,,,,,,1,,,,,"Straach, Janell","Wang, Haoliang","Maweu, Barbara M",,,,jxs017800,janell straach
ITSS,3300,010,3,22,16,9,1,4,1,,1,,1,1,3,1,,,,,"Beauchamp, Joe P","Xie, Si",,,,,jpb016300,joe beauchamp
ACCT,4342,001,2,3,12,10,11,7,6,6,4,1,,,,1,,,,,"Johnson, Jennifer","Farooqi, Shan A",,,,,jxj091000,jennifer johnson
ITSS,3300,002,2,22,10,8,4,6,2,2,1,1,1,,3,1,,,,,"Haseman, Charles","Zhu, Wangsheng",,,,,cxh180018,charles haseman
ITSS,3390,001,4,14,21,14,6,2,1,,,,,,,1,,,,,"Arora, Vivek","Lokkur, Ashwin P",,,,,vxa081000,vivek arora
ITSS,3300,011,7,21,8,5,12,6,1,2,,,,,1,0,,,,,"Stephens, Timothy G","Xie, Si",,,,,tgs170130,timothy stephens
ITSS,3300,0W1,21,22,11,3,3,,,1,,1,,,1,0,,,,,"Thouin, Mark","Choudhary, Aarzoo",,,,,mxt083000,mark thouin
ITSS,3300,007,8,21,11,3,7,4,5,3,,,1,,,0,,,,,"Stephens, Timothy G","Xie, Si",,,,,tgs170130,timothy stephens
MIS,6382,001,,57,5,1,,,,,,,,,,0,,,,,"Sohaee, Nassim","Mittal, Piyush",,,,,nxs045000,nassim sohaee
BUAN,6398,501,,23,,3,25,2,3,7,,,,,,0,,,,,"Alimirzaei, Athena","Mallavarapu, Vijay K",,,,,axa134231,athena alimirzaei
ACCT,3332,001,3,8,4,5,6,4,8,2,3,3,10,1,2,5,,,,,"Bortz, Tiffany A","Sarman, Patrick R",,,,,tabortz,tiffany bortz
STAT,4352,501,9,2,4,8,5,17,,6,3,,3,2,1,4,,,,,"Efromovich, Sam",,,,,,sxe062000,sam efromovich
CS,4353,001,21,13,6,8,3,2,3,3,2,,1,,,2,,,,,"McMahan, Ryan P","Hu, Xinyu",,,,,rpm120130,ryan mcmahan
MATH,2419,006,2,4,7,9,5,5,2,5,6,,1,1,15,2,,,,,"Miller, James W",,,,,,jwm170630,james miller
CRIM,3301,001,11,41,5,,2,4,,,,,,,,1,,,,,"Shih, Meng Ru",,,,,,,meng ru shih
OPRE,3310,001,17,15,5,4,9,6,2,2,1,,,,2,1,,,,,"Feng, Zhichao",,,,,,zxf140830,zhichao feng
CRIM,3303,001,27,24,6,1,1,2,,1,,,,,1,1,,,,,"Polk, Elmer O","Kanvinde, Vrishali",,,,,peo091000,elmer polk
ACCT,2302,005,12,10,4,3,11,3,4,7,3,6,1,,,0,,,,,"Li, Meng","Kale, Devendra",,,,,mxl120531,meng li
ACCT,2301,005,8,5,2,6,10,9,4,9,8,,1,,2,0,,,,,"Zhang, Jieying","Holstead, Cameron",,,,,jxz146230,jieying zhang
PSY,2317,501,4,9,5,7,5,7,4,5,5,1,3,2,7,0,,,,,"Schwark, Gayle","Taylor, Mackenzie B","Sands, Kaitlin R",,,,gxs180015,gayle schwark
CS,3341,001,18,8,5,1,5,5,6,2,3,5,2,2,2,0,,,,,"Whalen, Tristan G","Zimmer, Kevin C",,,,,tgw100020,tristan whalen
ACCT,2302,003,5,10,4,7,9,3,4,9,,3,2,1,2,6,,,,,"Dai, Zhonglan","Li, Chenchen",,,,,zxd051000,zhonglan dai
MATH,2418,003,1,2,5,4,2,4,4,4,3,2,5,2,22,5,,,,,"Arnold, Maxim",,,,,,mxa149530,maxim arnold
CRIM,1301,0W1,,9,12,7,3,10,3,1,3,1,,2,11,3,,,,,"Cohen, Galia","Han, Sungil",,,,,gxc097120,galia cohen
PSCI,4364,001,25,14,7,3,4,7,1,,,,,,1,3,,,,,"Modjarrad, Shahin S",,,,,,ssm140230,shahin modjarrad
ACCT,2302,501,1,4,5,7,12,2,2,11,1,7,2,2,6,2,,1,,,"Hes, Christopher A","Walker, Jacob N",,,,,cah041000,christopher hes
MATH,2418,501,2,4,6,3,5,1,1,6,6,3,5,1,20,2,,,,,"Pereira, Luis Felipe F",,,,,,lfp140030,luis felipe pereira
MATH,2420,005,3,2,4,10,3,9,9,4,10,,9,,,2,,,,,"Rachinskiy, Dmitry",,,,,,dxr124030,dmitry rachinskiy
OPRE,6301,007,,22,8,9,10,6,3,2,,,,,3,2,,,,,"Sethi, Awanti","Sethi, Shravik P",,,,,asethi,awanti sethi
OBHR,4333,501,7,20,7,9,7,4,4,2,1,1,1,,1,1,,,,,"Ritchey, David B",,,,,,davidr,david ritchey
BMEN,3350,001,7,9,7,12,7,2,7,2,1,,,,10,1,,,,,"Ali, Tariq M","Godakhindi, Varsha S",,,,,tma051000,tariq ali
BUAN,6340,004,,33,12,12,6,1,,,,,,,,0,,,,,"Ge, Ling","Panthagani, Phanindra",,,,,,ling ge
