Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
FIN,3320,0U1,,2,1,2,1,2,2,2,4,,,,,1,"Heidtman, David M",,,,,,dmh061000,david heidtman
FIN,6366,GW1,,7,3,3,4,,,,,,,,,0,"Kummer, Adnan",,,,,,,adnan kummer
IMS,6204,GH1,,11,5,,1,,,,,,,,,0,"Kiser, Stephen L",,,,,,slk012100,stephen kiser
IMS,6213,GH1,,4,5,4,4,,,,,,,,,0,"Peinhardt, Clint W",,,,,,cwp052000,clint peinhardt
IMS,6253,GH1,,3,6,,8,,,,,,,,,0,"Katz, Lothar",,,,,,,lothar katz
IMS,6V91,0S1,,7,7,3,,,,,,,,,,0,"Woldu, Habte G",,,,,,wolduh,habte woldu
ITSS,3390,5U1,1,7,5,2,2,,,,,,,,,0,"Arora, Vivek",,,,,,vxa081000,vivek arora
MIS,6326,0W1,,8,,,8,,,,,,,,,1,"Ryu, Young","Tunc, Murat M",,,,,ryoung,young ryu
GEOS,1303,051,1,4,2,,,4,2,1,,,1,1,,1,"Griffin, William R","Hetti Pathirannehelage, Diluni Ayeshika W",,,,,griffin,william griffin
ARTS,3367,5U1,,5,4,4,1,2,1,,,,,,,1,"Metz, Greg L","Pomara, John",,,,,glmetz,greg metz
ARTS,3372,551,,8,5,,,,,,,,,,1,4,"Loving, Emily",,,,,,exl097120,emily loving
HIST,4368,051,,3,2,4,4,1,1,,,,1,,2,0,"Schulze, Jeffrey",,,,,,jxs072200,jeffrey schulze
RHET,1302,053,5,4,2,1,2,,2,,,,,,1,1,"Lyons, David L",,,,,,dll101020,david lyons
ATCM,2301,0U1,2,4,2,,5,2,,1,1,,1,,,0,"Nielsen, Christina R",,,,,,crn022000,christina nielsen
COMD,7323,0U1,,18,,,,,,,,,,,,0,"Sweeney, Melissa",,,,,,msweeney,melissa sweeney
NSC,4366,0U1,2,,4,1,2,1,,4,,,,,3,1,"Taylor, Anna M",,,,,,amt180004,anna taylor
PSY,2301,0H1,2,1,3,,1,1,3,1,3,,,,1,2,"Brody, Salena M","Miranda, Giuseppe G",,,,,smb051000,salena brody
PSY,3393,0U1,5,4,1,,,3,1,,,,,,2,2,"Shirvani, Forouz","Mizener, Brendon J",,,,,fxk024000,forouz shirvani
CE,3310,5U1,1,5,1,5,1,1,,2,1,,,,1,0,"Pourkamali, Siavash","Palit, Prithviraj","Sheikhlari, Sepehr",,,,sxp124631,siavash pourkamali
CE,3311,5U1,,1,3,4,6,2,1,1,,,,,,0,"Sechen, Carl","Hu, Bo","Xu, Xiangyu",,,,cms057000,carl sechen
CS,1136,1U1,6,5,,,2,,1,1,,,,,1,2,"Arnold, Gordon L","Zhang, Chenxu",,,,,gxa120930,gordon arnold
CS,4337,0U2,7,,,2,,4,2,2,,,,,1,0,"Karami, Gity","Shakerin, Farhad",,,,,gxk180009,gity karami
ECS,3390,0U2,5,6,2,2,2,,,,1,,,,,0,"King, Carie S",,,,,,cxl085200,carie king
MECH,2310,0U1,1,7,1,1,1,2,,,,,2,,1,2,"Thamban, P.L.Stephan","Karami, Farzad",,,,,stephan,p l stephan thamban
SOC,4396,0S1,3,9,3,1,,2,,,,,,,,0,"Lanham, Carol C",,,,,,ccl054000,carol lanham
ACCT,4342,5U1,,3,5,4,2,1,1,1,,1,,,,0,"Johnson, Jennifer",,,,,,jxj091000,jennifer johnson
ACCT,6305,0W1,,3,4,6,4,,,,,,,,,1,"Janakiraman, Surya","Kale, Devendra",,,,,suryaj,surya janakiraman
ACCT,6388,5U1,,16,,,1,,,1,,,,,,0,"Goodrich, Mary Beth W",,,,,,goodrich,mary beth goodrich
FIN,6318,5U1,,5,7,6,,,,,,,,,,0,"Ma, Liping",,,,,,lxm133730,liping ma
MKT,6V99,5U1,,14,1,1,2,,,,,,,,,0,"Tirone, Guido",,,,,,gxt170001,guido tirone
OPRE,3330,5U1,,2,7,4,,4,,1,,,,,,0,"Janke, Scott M","Qu, Zihao",,,,,smj160830,scott janke
OPRE,3360,0U1,3,4,,2,1,3,1,,3,1,,,,0,"Enayaty Ahangar, Negin","Qu, Zihao",,,,,nxe180001,negin enayaty ahangar
BIOL,2281,1U3,2,5,,2,1,3,1,3,,,,,,1,"Lin, Wen J","Shashikanth Raj Urs, Karthik Urs Bangalore","Easterwood, Shayne","Do, Hung P","Gadhvi, Jashkaran G","Xia, Jing",wenju,wen lin
CHEM,2125,1U1,6,12,,,,,,,,,,,,0,"Tran, Daniel N","Ma, Ziyuan","Lumata, Jenica",,,,dnt019000,daniel tran
MATH,1326,0U1,2,2,1,1,,1,,2,2,1,,,3,3,"Li, Changsong","Haq, Moutaz E",,,,,cxl109120,changsong li
PHYS,1302,1U1,3,2,4,1,2,2,1,1,,,1,,,1,"Sun, Kuei","Mahmud, Mohammad M",,,,,kxs147030,kuei sun
